128,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
74,wod,ModuLO,8,-,1,AMSAT Transmitter,2,9,0,Modulator Reg 0,Modulator Register 0 - Local Oscillator
75,wod,ModuGain,8,-dB,1,AMSAT Transmitter,2,10,0,Modulator Gain,Modulator Register 1 - Gain
76,wod,ModuPhaseOff,8,-,1,AMSAT Transmitter,2,11,0,Modulator Reg 5,Modulator Register 5 - Phase Offset
77,wod,ModuMode,8,-,1,AMSAT Transmitter,2,12,0,Modulator Reg 8,Modulator Register 8 - Mode
78,wod,spareBit,1,-,0,NONE,0,0,0,Spare bit,spare
79,wod,moduValid,1,-,21,AMSAT Transmitter,2,8,0,Modulator Valid,If not valid then the displayed values are from the last valid read
80,wod,ICRRxOn,1,-,1,AMSAT Cmd Receiver,3,2,0,ICR Receiver On,ICR RSSI Valid
81,wod,ICRCarrierValid,1,-,1,AMSAT Cmd Receiver,3,9,0,ICR Carrier Valid,ICR Receiving Carrier
82,wod,hostGpio1,1,-,STATUS_BOOLEAN,Other Host Telem,10,14,0,Digital1,Host bit 1
83,wod,hostGpio2,1,-,STATUS_BOOLEAN,Other Host Telem,10,15,0,Digital2,Host bit 2
84,wod,hostGpio3,1,-,STATUS_BOOLEAN,Other Host Telem,10,16,0,Digital3,Host bit 3
85,wod,hostGpio4,1,-,STATUS_BOOLEAN,Other Host Telem,10,17,0,Digital4,Host bit 4
86,wod,addrB4StatesBits,8,-,0,NONE,0,0,0,Addr before State Bits,-
87,wod,hostBits0,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,1,0,State Bit 0,Host States Distro
88,wod,hostBits1,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,2,0,State Bit 1,-
89,wod,hostBits2,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,3,0,State Bit 2,-
90,wod,hostBits3,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,4,0,State Bit 3,-
91,wod,hostBits4,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,5,0,State Bit 4,-
92,wod,hostBits5,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,6,0,State Bit 5,-
93,wod,hostBits6,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,7,0,State Bit 6,-
94,wod,hostBits7,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,8,0,State Bit 7,-
95,wod,hostBits8,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,9,0,State Bit 8,Host States Distro
96,wod,hostBits9,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,10,0,State Bit 9,-
97,wod,hostBits10,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,11,0,State Bit 10,-
98,wod,hostBits11,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,12,0,State Bit 11,-
99,wod,hostBits12,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,13,0,State Bit 12,-
100,wod,hostBits13,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,14,0,State Bit 13,-
101,wod,hostBits14,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,15,0,State Bit 14,-
102,wod,hostBits15,1,-,STATUS_BOOLEAN,Host State Bits Group 1/2,8,16,0,State Bit 15,-
103,wod,hostBits16,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,1,0,State Bit 16,Host States Distro
104,wod,hostBits17,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,2,0,State Bit 17,-
105,wod,hostBits18,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,3,0,State Bit 18,-
106,wod,hostBits19,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,4,0,State Bit 19,-
107,wod,hostBits20,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,5,0,State Bit 20,-
108,wod,hostBits21,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,6,0,State Bit 21,-
109,wod,hostBits22,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,7,0,State Bit 22,spare
110,wod,hostBits23,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,8,0,State Bit 23,-
111,wod,hostBits24,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,9,0,State Bit 24,-
112,wod,hostBits25,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,10,0,State Bit 25,-
113,wod,hostBits26,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,11,0,State Bit 26,-
114,wod,hostBits27,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,12,0,State Bit 27,-
115,wod,hostBits28,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,13,0,State Bit 28,-
116,wod,hostBits29,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,14,0,State Bit 29,-
117,wod,hostBits30,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,15,0,State Bit 30,-
118,wod,hostBits31,1,-,STATUS_BOOLEAN,Host State Bits Group 3/4,9,16,0,State Bit 31,-
119,wod,stateGrpsValid,8,-,BIN8,Host State Bits Group 3/4,9,17,0,StateTmpVoltGrps Valid,spare
120,wod,I2CfailureHostTemp,8,-,BIN8,Other Host Telem,10,1,0,Host Tmp I2c Ok,Bits Indicate Host Temp Sensor Failure
121,wod,WODTimestampUptime,32,s,1,NONE,0,0,0,Uptime,Time Whole Orbit Data was collected
122,wod,WODTimestampReset,16,-,TIMESTAMP WODTimestampReset WODTimestampUptime,WOD,5,1,0,Data Capture Time,Time Whole Orbit Data was collected
123,wod,WodCRCError,8,-,STATUS_BIT,WOD,5,2,0,CRC Error,CRC Error for the WOD Payload
124,wod,inSafeMode,1,-,21,AMSAT LTM Status,1,8,0,Safe Mode,Are we in safe mode?
125,wod,inHealthMode,1,-,21,AMSAT LTM Status,1,9,0,Health Mode,Are we in health mode?
126,wod,inScienceMode,1,-,21,AMSAT LTM Status,1,10,0,Science Mode,Are we in science mode?
127,wod,pad191,5,-,0,NONE,0,0,0,Pad10,Pad
