136,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
64,realtimeDownlink,PlusZTmp,8,C,8_bit_temp,Temperatures,7,3,3,+Z End Temp,Pad
65,realtimeDownlink,TmpBat1,8,C,8_bit_temp,Temperatures,7,4,3,Tmp Bat Str 1,Pad
66,realtimeDownlink,TmpBat2,8,C,8_bit_temp,Temperatures,7,5,3,Tmp Bat Str 2,Pad
67,realtimeDownlink,TmpBat3,8,C,8_bit_temp,Temperatures,7,6,3,Tmp Bat Str 3,Pad
68,realtimeDownlink,TmpBat4,8,C,8_bit_temp,Temperatures,7,7,3,Tmp Bat Str 4,Pad
69,realtimeDownlink,TmpBat5,8,C,8_bit_temp,Temperatures,7,8,3,Tmp Bat Str 5,Pad
70,realtimeDownlink,TmpBat6,8,C,8_bit_temp,Temperatures,7,9,3,Tmp Bat Str 6,Pad
71,realtimeDownlink,TmpBat7,8,C,8_bit_temp,Temperatures,7,10,3,Tmp Bat Str 7,Pad
72,realtimeDownlink,TmpBat8,8,C,8_bit_temp,Temperatures,7,11,3,Tmp Bat Str 8,Pad
73,realtimeDownlink,Tmp12V1,8,C,8_bit_temp,Temperatures,7,12,3,12V 1 Temp,Pad
74,realtimeDownlink,Tmp12V2,8,C,8_bit_temp,Temperatures,7,13,3,12V 2 Temp,Pad
75,realtimeDownlink,Tmp5V1,8,C,8_bit_temp,Temperatures,7,14,3,5.1V 1 Temp,Pad
76,realtimeDownlink,Tmp5V2,8,C,8_bit_temp,Temperatures,7,15,3,5.1V 2 Temp,Pad
77,realtimeDownlink,Tmp3V1,8,C,8_bit_temp,Temperatures,7,16,3,3.3V 1 Temp,Pad
78,realtimeDownlink,Tmp3V2,8,C,8_bit_temp,Temperatures,7,17,3,3.3V 2 Temp,Pad
79,realtimeDownlink,EPSAmbTmp,8,C,8_bit_temp,Temperatures,7,18,3,EPS Ambient Temp,Pad
80,realtimeDownlink,pad35,32,c,0,NONE,0,0,0, ,pad
81,realtimeDownlink,DeploySenseCan,8,-,16,Spacecraft Status,3,4,0,Deploy Sense via CAN,TBD
82,realtimeDownlink,DeploySenseI2c,8,-,16,Spacecraft Status,3,5,0,Deploy Sense via I2c,TBD
83,realtimeDownlink,PrimaryRTActive,1,-,21,RT-IHU,11,3,0,Proc1 Active,Processor 1 is the active RT-IHU processor
